"pop1","pop2","pop3","est","se","z","p"
"1","6698","1178","1178",0.0139318885448916,0.0029232242198418,4.76593223685237,1.87982435098948e-06
"2","6698","1178","1228",-0.00033171163202123,0.00115609580295806,-0.2869239998731,0.774170513524343
"3","6698","1178","1234",0.00619195046439629,0.00164529412227522,3.76343073287932,0.000167598164044944
"4","6698","1178","180",0.00309597523219814,0.00170435259398427,1.8165109984435,0.069292022347778
"5","6698","1178","268",0.00431225121627598,0.00140840378186184,3.06180036706192,0.00220010131063075
"6","6698","1178","361",0.000773993808049533,0.00134645567699712,0.574837940284603,0.56540090469318
"7","6698","1178","410",0.00265369305616983,0.00130918550170473,2.02698017409632,0.0426644402768597
"8","6698","1178","414",0.00033171163202123,0.00137729965235245,0.240842021164139,0.809677559846884
"9","6698","1178","416",0.00165855816010615,0.00130369985811201,1.27219325045262,0.203304465175358
"10","6698","1178","443",-0.00243255196815569,0.00112261607115815,-2.1668600963873,0.0302455234103983
"11","6698","1178","543",-0.0018796992481203,0.00128658538335224,-1.46099844786257,0.14401586738615
"12","6698","1178","6099",-0.000552852720035384,0.0012759530481419,-0.433286100017924,0.664806934999926
"13","6698","1178","6235",-0.00121627598407784,0.00115031126209896,-1.05734510662664,0.29035411424998
"14","6698","1178","6484",-0.00342768686421937,0.00108482271455899,-3.15967468068073,0.00157945388283509
"15","6698","1178","6485",-0.00154798761609907,0.0013837824983564,-1.11866396484831,0.26328352383354
"16","6698","1178","6487",-0.00265369305616984,0.00122486672469859,-2.16651575445716,0.0302717972966879
"17","6698","1178","6531",-0.00265369305616984,0.00111931705220198,-2.37081446311334,0.0177489383036693
"18","6698","1178","6533",-0.00132684652808492,0.00110611945012987,-1.19955085133811,0.230313824268341
"19","6698","1178","6539",-0.0033171163202123,0.00116816607252737,-2.83959310086415,0.00451711116204642
"20","6698","1178","6540",-0.0051968155683326,0.00128554677065656,-4.04249435878435,5.28855853877067e-05
"21","6698","1178","6541",-0.00409111012826183,0.00146232973347605,-2.79766596726239,0.00514733147586057
"22","6698","1178","6542",-0.00364882795223353,0.00121279564036553,-3.00860906057824,0.00262446586752894
"23","6698","1178","6543",-0.00364882795223353,0.00121279564036553,-3.00860906057824,0.00262446586752898
"24","6698","1178","6546",-0.00386996904024768,0.000924816688402541,-4.18457959158627,2.85694337149542e-05
"25","6698","1178","6548",-0.00254312251216276,0.00115849469469306,-2.19519564812212,0.0281495663204282
"26","6698","1178","6549",-0.00154798761609907,0.00134188811721906,-1.15358918246264,0.248668635413308
"27","6698","1178","6550",-0.00210084033613445,0.00104934180121506,-2.00205532048932,0.0452787821009725
"28","6698","1178","6552",-0.00199026979212738,0.00122429291852043,-1.62564837386517,0.104024478336822
"29","6698","1178","6553",-0.00486510393631137,0.00132979887145167,-3.6585261431305,0.000253669868163205
"30","6698","1178","6556",-0.00707651481645289,0.00135469715279764,-5.22368767206669,1.75394524529058e-07
"31","6698","1178","6557",-0.00552852720035382,0.0012086401883344,-4.57417124940432,4.78108673497722e-06
"32","6698","1178","6558",-0.0056390977443609,0.00124362425125592,-4.53440638413577,5.77657154447907e-06
"33","6698","1178","6583",-0.00353825740822645,0.00101454572489344,-3.48752877412013,0.000487506462772039
"34","6698","1178","6588",-0.00586023883237505,0.00121750563594888,-4.81331556860335,1.48446599078625e-06
"35","6698","1178","6589",-0.00707651481645289,0.00161816495955296,-4.37317269458602,1.22453780228393e-05
"36","6698","1178","6590",-0.00541795665634675,0.00128932088099443,-4.20217863234167,2.6435839142973e-05
"37","6698","1178","6594",-0.00652366209641752,0.000994762242483197,-6.55801136976479,5.4530052589464e-11
"38","6698","1178","6595",-0.00442282176028306,0.00121727422937381,-3.63338157791959,0.000279730862825354
"39","6698","1178","6599",-0.00464396284829722,0.00106028578766235,-4.37991615311181,1.18724982721403e-05
"40","6698","1178","6610",-0.00254312251216276,0.00110915543860203,-2.29284591109077,0.0218568777543056
"41","6698","1178","6625",-0.00630252100840336,0.00126852353196808,-4.96839108583597,6.75107009959083e-07
"42","6698","1178","6626",-0.00630252100840336,0.00137960482113938,-4.56835240920531,4.91573028039229e-06
"43","6698","1178","6627",-0.00486510393631137,0.00128707309080832,-3.7799748678266,0.000156844189612301
"44","6698","1178","6628",-0.00541795665634675,0.00108498952029749,-4.99355667035495,5.92773813790477e-07
"45","6698","1178","6629",0.00210084033613445,0.00118831193271887,1.76791991924856,0.0770742922509098
"46","6698","1178","6630",-0.000663423264042459,0.00116092697621489,-0.571459943333814,0.567687905777258
"47","6698","1178","6632",-0.00165855816010615,0.0010743604375025,-1.54376324947491,0.12264569739189
"48","6698","1178","6633",0.000221141088014154,0.00100521566577539,0.21999367453508,0.825876081026631
"49","6698","1178","6634",-0.00199026979212738,0.00126111146660331,-1.57818705549319,0.114522643147114
"50","6698","1178","6635",-0.00309597523219814,0.000930155374987311,-3.32844954235778,0.000873308228810213
"51","6698","1178","6636",0.00243255196815568,0.00134825636746101,1.80422064146197,0.071196724697733
"52","6698","1178","6637",-0.00199026979212738,0.00110383897788439,-1.80304358878676,0.0713813693600982
"53","6698","1178","6639",-0.00154798761609907,0.00103641589774473,-1.49359694256672,0.135280999057506
"54","6698","1178","6640",-0.000442282176028305,0.00126906942786202,-0.348509046328073,0.727457921179264
"55","6698","1178","6654",-0.00464396284829721,0.001138242025915,-4.07994323049535,4.50467005983757e-05
"56","6698","1178","6656",-0.00232198142414861,0.00132147876208292,-1.75710839309191,0.0788993354051509
"57","6698","1178","6694",-0.00398053958425476,0.00091722117308047,-4.33978161547033,1.42624383188084e-05
"58","6698","1178","6698",0,0,NA,NA
"59","6698","1178","6699",-0.00331711632021229,0.00116945948881746,-2.83645252523157,0.00456177598294921
"60","6698","1178","6700",-0.00121627598407784,0.00110375134044519,-1.10194745819041,0.270484514613899
"61","6698","1178","6704",-0.00033171163202123,0.00121842136457832,-0.272247058090639,0.785432060673266
"62","6698","1178","7262",-0.00574966828836798,0.00115055200235303,-4.99731283471688,5.8134717433124e-07
"63","6698","1178","7263",0.000663423264042459,0.00131800728556787,0.503353260112381,0.614715926904638
"64","6698","1178","7267",-0.00597080937638213,0.00122507693928235,-4.87382399009147,1.0945851977129e-06
"65","6698","1178","7268",-0.00586023883237505,0.00145638061792071,-4.02383742289965,5.72574506440911e-05
"66","6698","1178","7269",-0.00110570544007076,0.00114755938232368,-0.96352786365777,0.335282688008505
"67","6698","1178","7270",-0.00165855816010615,0.00112652168637311,-1.47228249590646,0.140944608101475
"68","6698","1178","7271",-0.00121627598407784,0.00111247725276502,-1.09330413817885,0.274260286586982
"69","6698","1178","7272",-0.00066342326404246,0.00107197441111907,-0.618879757913146,0.53599557442355
"70","6698","1178","7274",0.000331711632021229,0.00117695586405815,0.281838633164615,0.778067246225188
"71","6698","1178","7275",0.00165855816010615,0.00119763681609275,1.3848590305675,0.166095576582673
"72","6698","1178","7277",0.000331711632021229,0.00108383963670383,0.306052316955329,0.75956481248106
"73","6698","1178","7278",-0.00221141088014153,0.00130040909027301,-1.70055015508794,0.0890274907423674
"74","6698","1178","7280",0.000995134896063688,0.00127262077384405,0.78195713641999,0.434239764568778
"75","6698","1178","7305",-0.00165855816010615,0.00110786524166013,-1.49707572522161,0.134373555294895
"76","6698","1178","7319",-0.00165855816010615,0.00132950036116424,-1.24750485863257,0.212212439846958
"77","6698","1178","7328",-0.00232198142414861,0.00103285973315972,-2.24810915713134,0.0245692303157664
"78","6698","1178","7329",-0.00232198142414861,0.00103285973315972,-2.24810915713135,0.0245692303157662
"79","6698","1178","7351",-0.0037593984962406,0.000983346862438455,-3.82306451552429,0.000131803275344487
"80","6698","1178","7352",-0.00265369305616983,0.0012445440703268,-2.13226121873934,0.0329853782815762
"81","6698","1178","896",0.00475453339230429,0.00136163151877969,3.49179152122253,0.000479792575638485
"82","6698","1178","907",0.00386996904024768,0.00159707626058253,2.42315857781025,0.0153862086341639
"83","6698","1178","SH-Q1902",-0.00243255196815568,0.00106473586682647,-2.28465297727417,0.0223331839064628
"84","6698","1178","SH-Q1905",-0.00232198142414861,0.000972704455572737,-2.38713970193691,0.0169800374804793
"85","6698","1228","1178",-0.00033171163202123,0.00115609580295806,-0.2869239998731,0.774170513524343
"86","6698","1228","1228",0.0210084033613445,0.00254531429189596,8.25375609928932,1.53492445310417e-16
"87","6698","1228","1234",-0.00132684652808492,0.00110426229677443,-1.2015682614182,0.229530844445062
"88","6698","1228","180",-0.000995134896063686,0.00131923195726318,-0.754328979513317,0.450651705252314
"89","6698","1228","268",0.000442282176028307,0.00153642365757395,0.28786472653427,0.773450288660644
"90","6698","1228","361",0.0139318885448916,0.00171674323987529,8.11530124091458,4.84581228931397e-16
"91","6698","1228","410",0.000995134896063691,0.00132121564409833,0.753196422180444,0.451331889014934
"92","6698","1228","414",0.0134896063688633,0.00178208627699125,7.56955852420246,3.74494721039907e-14
"93","6698","1228","416",0.000663423264042461,0.00138158617605405,0.480189564386977,0.631092606553884
"94","6698","1228","443",-0.00143741707209199,0.00117134945275625,-1.22714623608666,0.219767632505198
"95","6698","1228","543",-0.000773993808049535,0.00119186742558912,-0.649395890375108,0.516082519634483
"96","6698","1228","6099",0.00165855816010615,0.00190365985016708,0.871247119048385,0.383619237312474
"97","6698","1228","6235",0.00044228217602831,0.00135595957408367,0.326176520658587,0.744290804615267
"98","6698","1228","6484",0.0051968155683326,0.00141304727748457,3.67773651394289,0.000235312849465198
"99","6698","1228","6485",0.00420168067226891,0.00143002236110864,2.93819228743495,0.00330132196693454
"100","6698","1228","6487",0.00398053958425476,0.00200523127725515,1.98507754661771,0.0471358444841791
"101","6698","1228","6531",0.0037593984962406,0.00137818353163051,2.72779235127915,0.00637597303452562
"102","6698","1228","6533",0.00950906678460858,0.00148580815290443,6.39992906622598,1.5544915222015e-10
"103","6698","1228","6539",0.00276426360017691,0.00122753636016147,2.2518792028395,0.0243299067297049
"104","6698","1228","6540",-0.000773993808049534,0.000896254180556884,-0.863587389426309,0.387814594076515
"105","6698","1228","6541",0.00099513489606369,0.00152813900552144,0.651207051497338,0.514912839045672
"106","6698","1228","6542",0.00309597523219814,0.000973638786624421,3.1797985810855,0.00147377452236864
"107","6698","1228","6543",0.00309597523219814,0.000973638786624421,3.1797985810855,0.00147377452236864
"108","6698","1228","6546",0.000442282176028307,0.00118220839174655,0.37411523984777,0.708318580877812
"109","6698","1228","6548",0.00342768686421937,0.00136573024807147,2.50978322334119,0.0120805296285435
"110","6698","1228","6549",0.00785050862450243,0.0012810213722926,6.12831978786789,8.88119454316433e-10
"111","6698","1228","6550",0.0070765148164529,0.00147573421406393,4.79525022122062,1.62471899614832e-06
"112","6698","1228","6552",0.00685537372843875,0.0014164957956311,4.83967107391551,1.30054198508351e-06
"113","6698","1228","6553",-0.00364882795223352,0.00105693191681729,-3.45228287099243,0.000555864652269409
"114","6698","1228","6556",-0.00541795665634675,0.00124116194195595,-4.36522944605326,1.26989391692829e-05
"115","6698","1228","6557",-0.00364882795223352,0.00103707639160079,-3.51837914910139,0.000434191528109292
"116","6698","1228","6558",-0.00431225121627598,0.00103753707871342,-4.15623817668601,3.23530547329756e-05
"117","6698","1228","6583",0.00165855816010615,0.00124171075524592,1.33570411071914,0.181646005242438
"118","6698","1228","6588",-0.00464396284829721,0.000999583659308877,-4.64589712431684,3.38601720703503e-06
"119","6698","1228","6589",-0.00530738611233967,0.00133016395958156,-3.99002399223721,6.60666120623079e-05
"120","6698","1228","6590",-0.00508624502432552,0.00114354675331769,-4.4477805647816,8.67620953283541e-06
"121","6698","1228","6594",-0.0060813799203892,0.000867348663245868,-7.01145937970427,2.35844968850451e-12
"122","6698","1228","6595",0.000773993808049537,0.00150752835163975,0.513419072488857,0.607658207007507
"123","6698","1228","6599",-0.000221141088014153,0.001274024357248,-0.173576813312923,0.86219805567527
"124","6698","1228","6610",0.0070765148164529,0.0012040014107751,5.87749711347701,4.16515976334863e-09
