"pop1","pop2","pop3","est","se","z","p"
"1","6698","6553","180",-0.00519681556833259,0.00154109063538852,-3.37216737873593,0.000745791095682614
"2","6698","6553","410",-0.00420168067226891,0.0012677531512653,-3.31427349880799,0.000918815868242372
"3","6698","6553","416",-0.00486510393631137,0.00117214352292279,-4.1506042913414,3.31598629917745e-05
"4","6698","6553","6636",-0.00431225121627598,0.00123773607836969,-3.483982806703,0.000494011221831481
"5","6698","6553","7274",-0.00464396284829721,0.00127944926849612,-3.62965766806508,0.000283797342722431
"6","6698","6553","7275",-0.00486510393631137,0.0012652158851747,-3.84527572987245,0.000120416955945737
"7","6698","6553","896",-0.00586023883237505,0.0014721414600781,-3.98075795790995,6.86958710423383e-05
"8","6698","6556","180",-0.00608137992038921,0.00147071756180609,-4.13497470780254,3.54993730042741e-05
"9","6698","6556","410",-0.00574966828836798,0.00134560657110237,-4.27291930036996,1.92930295806313e-05
"10","6698","6556","416",-0.00563909774436091,0.0012545097251282,-4.49506100383929,6.95500050029524e-06
"11","6698","6556","6636",-0.00541795665634675,0.00115226055525059,-4.70202388831097,2.57595353844571e-06
"12","6698","6556","7274",-0.00552852720035383,0.00131482243187993,-4.20477097614555,2.61346657762919e-05
"13","6698","6556","7275",-0.00552852720035382,0.00141913476057155,-3.89570275773334,9.79144112265754e-05
"14","6698","6556","896",-0.00740822644847412,0.00147524588085179,-5.02168929575096,5.12189905035423e-07
"15","6698","6557","180",-0.00475453339230429,0.00147815703656571,-3.21652792950253,0.00129751903529439
"16","6698","6557","410",-0.00486510393631137,0.00117651858424559,-4.13516964496654,3.54692517733138e-05
"17","6698","6557","416",-0.00475453339230429,0.00103140799724834,-4.60975036550887,4.03152764081797e-06
"18","6698","6557","6636",-0.00431225121627598,0.00107569181878804,-4.00881659687113,6.10237860269334e-05
"19","6698","6557","7274",-0.00464396284829721,0.00117657906607294,-3.94700448291787,7.9135075765272e-05
"20","6698","6557","7275",-0.00486510393631137,0.00112393545094211,-4.32863286964861,1.50037803584713e-05
"21","6698","6557","896",-0.00608137992038921,0.00144275344754012,-4.21512069907571,2.49644638303694e-05
"22","6698","6558","180",-0.00552852720035382,0.00146606267408713,-3.77100331252636,0.000162592514519535
"23","6698","6558","410",-0.00508624502432552,0.00126725977323896,-4.01357727257902,5.9805411805027e-05
"24","6698","6558","416",-0.00530738611233967,0.00102826152994049,-5.16151383456584,2.44960783691399e-07
"25","6698","6558","6636",-0.00431225121627598,0.00107664570993778,-4.00526484847572,6.19480330997033e-05
"26","6698","6558","7274",-0.00475453339230429,0.00107216446363729,-4.43451872688883,9.22781987926572e-06
"27","6698","6558","7275",-0.00497567448031844,0.00126082288466226,-3.9463706923842,7.93447408083531e-05
"28","6698","6558","896",-0.00652366209641752,0.00121387599885682,-5.37424094599552,7.69059625642971e-08
"29","6698","6628","180",-0.00409111012826183,0.0013494576582995,-3.03166987352326,0.00243205030220351
"30","6698","6628","410",-0.00508624502432552,0.00100061715380119,-5.08310796492311,3.71308501386223e-07
"31","6698","6628","416",-0.00497567448031844,0.000882864172452159,-5.63583236875326,1.74214783978909e-08
"32","6698","6628","6636",-0.00497567448031844,0.00102320545162172,-4.86283030688733,1.15719048655417e-06
"33","6698","6628","7274",-0.00386996904024767,0.00130126935101071,-2.97399538169544,0.00293949499268442
"34","6698","6628","7275",-0.00353825740822645,0.00175314639647038,-2.01823271310944,0.0435670306787088
"35","6698","6628","896",-0.00641309155241044,0.00114219352963132,-5.61471535780845,1.96886076878452e-08
"36","6698","7262","180",-0.00486510393631137,0.00135746367550603,-3.58396620410323,0.000338415892558012
"37","6698","7262","410",-0.00508624502432552,0.00124167957001033,-4.09626214940721,4.19874451490844e-05
"38","6698","7262","416",-0.00552852720035383,0.000930297139098996,-5.94275416745694,2.80272599228587e-09
"39","6698","7262","6636",-0.0051968155683326,0.00115834357455409,-4.48641981748218,7.24299575471166e-06
"40","6698","7262","7274",-0.00453339230429014,0.00128884637692823,-3.51740314861635,0.000435791351295675
"41","6698","7262","7275",-0.00530738611233967,0.00166689264229314,-3.18399996357192,0.00145255030661846
"42","6698","7262","896",-0.00685537372843875,0.00119436066783819,-5.73978523660451,9.47966910686864e-09
"43","6698","7267","180",-0.00541795665634675,0.00137592923394216,-3.93767101002995,8.22762931575473e-05
"44","6698","7267","410",-0.0051968155683326,0.00121149398817203,-4.28959253538999,1.79001221134942e-05
"45","6698","7267","416",-0.00530738611233967,0.00116661576809537,-4.54938657395705,5.38025249498036e-06
"46","6698","7267","6636",-0.00574966828836798,0.00119792176171533,-4.79970267852462,1.58901354415623e-06
"47","6698","7267","7274",-0.00453339230429014,0.00120295662599459,-3.76854177975203,0.000164204004124599
"48","6698","7267","7275",-0.00453339230429014,0.0013856347631479,-3.27170797446733,0.0010689993143643
"49","6698","7267","896",-0.00696594427244582,0.00132202375976487,-5.26915210183873,1.37055364118023e-07
"50","6699","6553","180",-0.00254312251216276,0.00191130655002946,-1.33056757019096,0.183331339170625
"51","6699","6553","410",-0.00287483414418399,0.00154712594109364,-1.85817719671342,0.0631438551359299
"52","6699","6553","416",-0.00276426360017691,0.00177490016630223,-1.55741920174355,0.119370990144743
"53","6699","6553","6636",-0.0018796992481203,0.00153856079911464,-1.22172568624,0.221811379336223
"54","6699","6553","7274",-0.00210084033613445,0.00180584219991291,-1.16335764898825,0.244684424907377
"55","6699","6553","7275",-0.00232198142414861,0.00185324166668604,-1.25292964532832,0.210231311946792
"56","6699","6553","896",-0.00165855816010615,0.00175711299353885,-0.943910930147863,0.345215166082768
"57","6699","6556","180",-0.00398053958425475,0.00200021962186586,-1.99005126274163,0.0465852887973657
"58","6699","6556","410",-0.00497567448031844,0.0017841307315871,-2.78885083487814,0.00528954214400356
"59","6699","6556","416",-0.00409111012826183,0.00192637346866253,-2.12373674929309,0.0336921626029211
"60","6699","6556","6636",-0.00353825740822645,0.00170667562858026,-2.07318681357737,0.0381548971044051
"61","6699","6556","7274",-0.00353825740822645,0.00191193964926341,-1.85061145083193,0.0642254711678311
"62","6699","6556","7275",-0.00353825740822645,0.00177398705938182,-1.99452267112896,0.046094964916053
"63","6699","6556","896",-0.0037593984962406,0.00179724320453247,-2.09175835900215,0.0364601370763007
"64","6699","6557","180",-0.00320654577620522,0.00184963795219241,-1.73360725670904,0.0829877920226004
"65","6699","6557","410",-0.00464396284829721,0.00156792271910665,-2.96185697911386,0.00305789788514529
"66","6699","6557","416",-0.0037593984962406,0.00188160832785677,-1.99797080007756,0.0457198259098137
"67","6699","6557","6636",-0.00298540468819107,0.00160262647004264,-1.86282002949298,0.062487591045224
"68","6699","6557","7274",-0.00320654577620522,0.0018705340011331,-1.71424083938748,0.0864845033317036
"69","6699","6557","7275",-0.00342768686421937,0.00174835750959951,-1.96051828381744,0.0499352430659474
"70","6699","6557","896",-0.00298540468819107,0.00171179154113285,-1.74402350780128,0.0811549907990679
